     118.8     53.8     53.8        0        0        0  
      53.8    118.8     53.8        0        0        0  
      53.8     53.8    118.8        0        0        0  
         0        0        0     59.4        0        0  
         0        0        0        0     59.4        0  
         0        0        0        0        0     59.4  

